Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Creighton 6,BE,"115.2
35","96.2
38","57.6
3","49.9
139","17.1
76","19.3
127","24.2
316","29.6
199","27.9
331","29.3
48","68.3
244","68.9
89","56.4
6","50.2
211","39.8
13","33.0
71"
TCU,B12,"114.8
36","98.1
62","52.7
72","50.4
165","18.8
201","18.7
162","34.1
37","29.3
177","32.2
268","30.9
70","68.7
230","68.5
74","52.2
56","48.3
129","35.7
134","36.3
250"
Nevada 12,MWC,"114.7
37","101.6
109","52.5
79","48.3
78","15.5
15","15.9
316","30.4
127","26.3
52","41.3
32","28.2
35","70.5
165","69.2
105","49.2
176","49.3
166","38.2
42","31.0
15"
USC 11,P12,"114.1
38","101.6
107","52.2
96","50.1
151","15.7
20","17.9
207","31.0
108","31.4
270","36.8
139","24.0
5","74.1
59","71.7
249","51.0
102","47.2
86","36.2
113","36.8
273"
Maryland 6,B10,"114.1
39","98.9
66","52.4
82","47.5
44","19.0
218","18.0
205","30.4
129","32.3
297","38.5
81","32.6
108","70.2
171","70.4
171","51.0
101","45.6
41","36.3
108","34.2
121"
Houston,Amer,"113.6
40","99.0
68","51.7
114","47.1
34","14.9
7","20.7
44","31.8
79","30.7
240","28.6
326","36.8
210","71.7
124","72.2
269","47.7
241","45.7
46","39.4
15","32.9
68"
Pittsburgh,ACC,"113.4
41","102.2
117","51.4
131","51.3
204","17.6
99","14.3
346","28.2
209","29.5
192","39.4
71","26.6
16","73.3
83","70.9
205","49.6
162","50.2
213","36.1
123","35.6
200"
Iowa,B10,"113.4
42","101.9
112","52.5
80","51.0
193","18.6
189","19.1
138","31.8
78","32.3
296","34.9
183","27.5
28","68.8
224","68.5
73","49.9
149","49.5
175","37.9
51","35.8
217"
Utah,P12,"113.2
43","99.7
80","56.2
11","49.1
109","19.2
223","17.0
270","30.9
110","24.5
14","33.1
246","31.2
77","67.9
263","68.1
48","57.4
4","46.9
78","36.0
126","35.6
201"
Vanderbilt 9,SEC,"113.1
44","94.8
25","52.1
97","48.1
70","18.2
146","16.1
312","24.8
302","27.0
76","34.8
187","30.7
66","77.7
11","69.9
143","48.1
226","46.8
76","37.6
61","33.8
101"
Auburn,SEC,"113.0
45","103.5
152","51.1
150","50.6
176","17.9
128","19.9
83","30.3
134","33.3
324","42.5
23","38.8
245","67.2
281","72.0
263","48.5
209","48.7
143","36.6
95","35.7
209"
Kansas St. 11,B12,"112.9
46","95.3
30","52.7
71","49.6
122","19.1
221","22.1
18","29.5
164","32.3
298","41.1
35","33.4
129","69.5
206","72.9
304","51.8
76","45.5
40","36.2
112","38.2
322"
North Carolina St.,ACC,"112.5
47","106.1
206","52.7
68","51.6
214","18.5
179","15.6
328","29.8
151","31.4
271","36.2
152","30.4
60","70.0
184","71.6
246","52.4
52","49.5
172","35.6
145","36.9
282"
Virginia 5,ACC,"112.5
48","87.9
2","52.4
84","46.1
22","15.6
17","20.7
45","28.3
207","24.5
15","26.0
345","33.8
147","70.9
150","69.9
149","49.7
158","45.1
26","38.5
28","31.7
29"
Michigan St. 9,B10,"112.3
49","95.8
35","54.0
40","46.7
29","20.5
304","15.9
317","29.2
181","27.3
86","33.5
231","34.7
168","67.0
285","72.6
291","52.9
44","44.1
17","37.3
69","34.6
144"
William & Mary,CAA,"112.3
50","109.6
272","56.2
10","52.3
250","17.4
88","14.5
344","25.6
287","27.4
94","38.7
80","35.1
176","68.8
225","71.2
225","55.8
9","51.0
234","37.8
56","36.1
235"
,,Adj. Eff.,,Eff. FG%,,Turnover%,,Off. Reb%,,FT Rate,,FT%,,2P%,,3P%,
Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Colorado,P12,"112.3
51","103.1
137","50.9
160","50.3
159","17.4
90","17.2
258","33.0
57","28.3
133","37.5
114","33.9
149","70.1
178","70.7
193","49.9
150","47.3
90","35.1
167","36.8
275"
Middle Tennessee 12,CUSA,"112.1
52","97.6
53","54.1
37","47.9
59","15.6
16","19.8
87","30.1
141","23.8
4","30.0
302","38.2
233","70.1
177","71.5
238","53.6
29","47.1
81","36.9
86","32.8
65"
Akron,MAC,"112.1
53","106.2
209","55.1
23","51.0
192","17.2
78","16.7
283","29.4
171","27.9
114","37.3
123","32.9
117","68.1
252","70.6
188","55.0
16","49.0
155","36.8
89","36.8
272"
Rhode Island 11,A10,"112.0
54","95.0
27","50.8
168","45.0
9","16.4
45","19.4
117","32.8
63","29.7
201","39.2
73","45.0
334","66.8
286","70.8
203","51.2
93","45.4
35","33.3
247","29.5
5"
Ohio St.,B10,"111.9
55","100.3
86","52.2
94","48.9
98","19.2
227","17.5
240","29.7
156","28.8
159","38.1
92","29.4
49","68.2
246","66.4
16","51.6
81","45.7
43","35.6
143","35.6
203"
Texas Tech,B12,"111.9
56","97.6
54","52.9
66","50.8
186","16.5
47","20.3
55","30.0
144","25.7
39","35.6
166","35.6
187","73.3
82","71.3
229","51.9
69","48.9
150","36.7
91","35.5
195"
Northwestern 8,B10,"111.9
57","95.8
34","49.7
209","46.1
23","16.0
28","17.9
208","30.8
116","30.6
237","30.5
296","36.1
200","74.8
45","66.9
20","48.8
194","44.0
15","34.2
208","33.3
84"
Dayton 7,A10,"111.8
58","97.9
59","53.6
51","47.7
53","16.9
61","20.9
36","25.6
288","27.4
95","43.4
10","35.2
179","69.3
213","71.2
224","51.0
99","47.2
85","38.4
33","32.3
45"
Arizona St.,P12,"111.7
59","108.0
241","51.4
129","55.4
337","14.3
5","18.3
185","24.4
309","32.2
295","31.9
274","29.9
54","74.9
44","71.2
218","48.7
200","55.9
343","36.6
97","36.4
260"
Miami FL 8,ACC,"111.4
60","94.1
20","51.0
158","47.6
48","19.5
246","18.3
191","33.4
51","28.2
127","34.3
206","28.7
39","71.8
119","73.9
330","49.8
152","46.6
66","35.6
141","33.0
72"
Mississippi,SEC,"111.1
61","101.4
100","48.8
237","49.8
137","19.3
236","18.8
157","33.9
43","30.0
211","42.8
17","35.6
186","75.2
37","70.1
155","46.8
278","46.7
72","34.7
181","36.3
251"
Vermont 13,AE,"111.0
62","99.0
69","55.3
20","48.6
84","17.0
70","19.6
100","29.8
150","27.1
79","34.3
208","26.5
15","69.9
186","70.5
179","55.5
13","46.9
79","36.7
92","34.9
164"
Richmond,A10,"110.9
63","103.6
154","53.9
43","49.9
140","16.2
40","20.0
77","20.7
341","30.7
243","31.6
276","34.6
165","71.3
137","73.3
318","55.6
12","50.9
230","34.2
206","32.1
38"
Louisiana Lafayette,SB,"110.9
64","109.7
274","51.5
125","54.4
324","17.9
121","20.1
73","36.3
16","27.8
109","42.2
26","37.3
219","69.6
205","69.6
124","51.5
86","53.8
321","34.2
205","37.1
290"
Central Michigan,MAC,"110.7
65","118.7
345","51.7
111","53.5
308","14.7
6","15.2
334","26.7
264","34.0
330","34.6
197","32.6
110","79.1
2","70.6
181","48.5
206","53.9
322","36.4
105","35.1
174"
Marshall,CUSA,"110.6
66","109.5
268","53.6
50","51.5
210","15.9
24","16.8
278","24.4
311","32.8
315","37.1
130","31.0
72","73.3
84","65.8
7","51.8
74","51.3
247","37.4
67","34.6
143"
