Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
College of Charleston,SC,"110.4
57","107.0
261","53.7
22","49.4
185","16.2
11","19.0
248","25.4
333","39.4
342","21.0
347","31.3
47","74.3
24","64.5
17","52.3
23","48.8
212","37.1
56","33.9
155"
Valparaiso,Horz,"110.3
58","111.5
324","52.8
36","52.5
316","19.8
140","19.5
224","31.0
224","35.2
283","36.3
209","48.4
324","72.1
69","71.1
285","51.7
38","50.8
292","36.4
74","37.4
303"
Portland St.,BSky,"110.0
59","115.5
343","54.6
13","55.2
342","18.8
95","18.5
268","32.6
179","37.6
329","33.9
275","35.9
137","70.9
110","73.7
341","53.3
16","53.0
332","37.9
35","40.0
344"
Eastern Kentucky,OVC,"109.9
60","110.2
302","55.6
6","53.4
330","15.7
4","21.5
89","23.9
338","34.7
267","26.1
346","34.3
104","72.5
58","70.5
253","53.7
10","50.5
285","38.5
24","39.0
336"
Marshall,CUSA,"109.9
61","99.5
104","51.7
55","45.3
36","18.3
66","17.8
298","33.9
132","32.9
188","46.0
21","36.4
146","68.2
199","70.4
252","50.5
73","43.9
32","36.3
77","32.6
90"
Georgia Tech 10,ACC,"109.8
62","91.7
17","50.3
96","44.3
17","23.2
313","21.3
108","38.3
24","33.7
223","37.7
164","34.8
118","65.5
279","67.0
78","49.0
118","42.8
14","35.8
94","31.3
46"
Butler 5,Horz,"109.8
63","89.6
7","51.0
80","46.6
71","18.7
88","21.6
84","30.4
249","27.4
15","46.9
16","34.6
110","73.8
32","67.9
110","50.9
56","46.1
104","34.2
168","31.7
61"
San Jose St.,WAC,"109.7
64","111.4
322","51.4
69","51.8
296","18.3
68","15.0
345","33.9
131","36.2
299","38.3
142","32.4
70","72.7
54","63.2
4","47.9
165","50.0
262","39.9
11","37.1
296"
Portland,WCC,"109.6
65","101.4
149","53.6
24","50.8
259","20.2
161","21.2
112","34.1
123","31.7
123","37.3
179","36.9
165","73.1
42","65.6
33","48.8
131","49.7
248","41.3
5","35.2
224"
Northern Iowa 9,MVC,"109.5
66","90.7
9","49.6
132","46.6
73","17.9
48","20.4
164","30.7
231","26.8
6","37.0
184","28.8
18","75.8
9","69.0
175","47.5
183","44.7
52","35.4
114","33.3
121"
Tennessee 6,SEC,"109.5
67","91.5
15","50.6
87","45.2
35","18.9
97","23.1
34","33.5
146","32.3
160","35.6
222","40.7
232","67.1
227","69.5
208","51.8
35","45.7
82","32.0
257","29.7
9"
Wichita St.,MVC,"109.4
68","96.9
67","50.9
83","47.8
116","20.4
175","21.3
105","34.3
115","26.5
4","37.6
166","42.8
270","74.6
20","71.1
284","49.3
106","46.4
117","35.9
89","33.9
158"
Purdue 4,B10,"109.2
69","87.7
3","49.1
154","44.8
27","16.3
13","23.4
24","29.4
281","31.8
131","38.6
134","36.8
158","72.3
62","71.5
300","49.7
99","41.6
8","31.8
262","35.4
243"
Illinois,B10,"109.1
70","95.0
43","50.1
108","46.4
60","18.1
60","17.7
305","32.2
187","30.2
70","27.3
341","31.8
62","71.3
98","69.6
211","49.8
89","45.2
70","34.0
180","32.1
70"
Richmond 7,A10,"109.1
71","93.9
33","51.1
75","44.2
14","16.9
20","22.7
43","26.5
327","35.8
293","32.4
297","36.2
142","70.0
135","70.6
257","49.9
84","43.8
29","35.5
109","30.1
18"
