Year,Round,SeedDiff,OffEff,DefEff,OffFgp,DefFgp,OffTop,DefTop,OffRp,DefRp,OffFtr,DefFtr,OffFtp,DefFtp,Off2pp,Def2pp,Off3pp,Def3pp,ScoreDiff
2022,1,-9,-2.7,-8,-9.2,-5.1,1.7,-0.2,6.6,3.1,2.4,5.7,-3.1,-4.7,-6.9,-3.2,-9.3,-5.2,9
2022,1,5,-4.6,-1.2,-0.3,2.8,-0.3,-0.5,-5.4,-2.6,-6.3,-1.1,-4.8,2.8,-0.3,3.2,-0.1,0.7,5
2022,1,-11,1.7,-9.8,-7.9,0.1,-3.9,1,-0.7,-0.7,6.1,3.1,4.8,1,-3.4,1,-9.7,-1.2,7
2022,1,3,5,1.7,2.2,7.8,-3.9,6,-11.1,3.6,-2,-2,7.8,-3.6,4.7,11,-1.8,1.3,2
2022,1,-13,7.2,-12.2,-3.7,-4,-3,2.9,5.5,1.9,-0.5,12.6,4.3,-3.6,0.3,-4.7,-6.2,-1.7,19
2022,0,0,-0.1,-4.3,1,-3.7,1.7,-5.3,-1,-0.8,-4.4,-8.9,-6.4,-10.7,1.7,-5.2,-0.4,-1.1,9
2022,0,0,-0.2,-5.7,-1.7,-0.9,0.1,1.9,1.5,0.5,-3.6,5.9,-2.3,3.4,-3.5,-4.5,0.3,2.9,8
2022,0,0,1.9,2.1,2.1,3.8,-1.3,1.9,-1.8,-1.6,-1.1,0.9,3.4,2.6,-0.3,4.9,3.1,1.3,11
2022,0,0,6.2,0.4,4.1,0.4,-1.7,-2.7,-7.5,-2.3,1.1,-6.4,5.4,-3.1,2.5,2.5,4,-1.9,2
2019,6,-2,7.9,4.7,1.7,1.7,-3,-5.3,3,-3.3,-3.8,-10.3,1.2,-2.8,-0.3,3.8,3,-0.8,8
2019,5,-3,1.8,-5.3,0.8,-7,-2.1,-7.1,-1.2,-7.4,-1.8,-10.1,3.1,-4.4,0.8,-5.7,1.4,-5.9,1
2019,5,1,-4.7,-5.9,-1.7,-0.9,-0.8,7.9,-6.5,2.3,-0.7,9.1,-2.1,1.5,-1.5,0,-1.3,-1.9,10
